date,treatment,rain,tmax,tmin,srad,tmean
01/01/1961,PFUN,45.1,28.7,17.4,24.5,23.05
01/02/1961,PFUN,0,30.6,17.7,25.1,24.15
01/03/1961,PFUN,0,32,18.5,22.2,25.25
01/04/1961,PFUN,28.2,26.7,16.5,21.8,21.6
01/05/1961,PFUN,0,30.6,17.2,23.4,23.9
01/06/1961,PFUN,54.6,26.8,17,11.5,21.9
01/07/1961,PFUN,3.2,26.8,15.9,26,21.35
01/08/1961,PFUN,0,29.6,17.4,25.7,23.5
01/09/1961,PFUN,0,30.2,18.3,26.5,24.25
01/10/1961,PFUN,0,27.4,17.5,10,22.45
01/11/1961,PFUN,18.7,29.5,17.9,26.2,23.7
01/12/1961,PFUN,0,31.8,17.2,27.1,24.5
01/13/1961,PFUN,0,30.9,19.2,27.3,25.05
01/14/1961,PFUN,0,31.2,20.2,16.4,25.7
01/15/1961,PFUN,0,31.6,21.4,18.7,26.5
01/16/1961,PFUN,0,32.6,21.7,23.6,27.15
01/17/1961,PFUN,0,30.4,19.8,15.6,25.1
01/18/1961,PFUN,0.7,29.6,18.5,19.5,24.05
01/19/1961,PFUN,0,32,20.4,25.2,26.2
01/20/1961,PFUN,0,33,21,26.9,27
01/21/1961,PFUN,0,32.1,21.8,17.2,26.95
01/22/1961,PFUN,18.9,27.8,19.6,23.4,23.7
01/23/1961,PFUN,0,30.1,15,27,22.55
01/24/1961,PFUN,0,31.2,17.1,26.9,24.15
01/25/1961,PFUN,0,26.2,16.6,26.2,21.4
01/26/1961,PFUN,0,23.4,14.1,19.3,18.75
01/27/1961,PFUN,0,24.4,11.1,23.7,17.75
01/28/1961,PFUN,0,26.6,13.7,22.2,20.15
01/29/1961,PFUN,0,27.4,15.6,18,21.5
01/30/1961,PFUN,0,30,16,27,23
01/31/1961,PFUN,0,31.8,18.5,25.4,25.15
02/01/1961,PFUN,0.2,33.6,19.4,24.9,26.5
02/02/1961,PFUN,2.8,28.8,17.8,13.9,23.3
02/03/1961,PFUN,0,27.6,18.5,12.8,23.05
02/04/1961,PFUN,1.4,29.4,18.2,17.2,23.8
02/05/1961,PFUN,15,27.6,18,18.9,22.8
02/06/1961,PFUN,63.9,25.2,18.5,10.5,21.85
02/07/1961,PFUN,17.5,22,18.9,9.9,20.45
02/08/1961,PFUN,24.6,28,17.4,21.1,22.7
02/09/1961,PFUN,0,28.6,18,17.9,23.3
02/10/1961,PFUN,6,29,18.9,15.7,23.95
02/11/1961,PFUN,27.6,26.6,19,16.6,22.8
02/12/1961,PFUN,0,27,16.5,25.4,21.75
02/13/1961,PFUN,0,28,17.4,23.9,22.7
02/14/1961,PFUN,1,28,14.6,24.9,21.3
02/15/1961,PFUN,0,26.6,15,25.2,20.8
02/16/1961,PFUN,0,27,14.4,24.9,20.7
02/17/1961,PFUN,0,27.4,17.3,13.6,22.35
02/18/1961,PFUN,0.6,28.6,18.4,18.4,23.5
02/19/1961,PFUN,52.6,29.1,17.4,23.1,23.25
02/20/1961,PFUN,5.1,30.2,17.5,24.1,23.85
02/21/1961,PFUN,2,31.6,19.7,24.9,25.65
02/22/1961,PFUN,14,30,18.9,18.5,24.45
02/23/1961,PFUN,23.9,28,18,23.3,23
02/24/1961,PFUN,0,29.2,18.5,22.2,23.85
02/25/1961,PFUN,0,31.4,20.4,22.8,25.9
02/26/1961,PFUN,0,25.8,19.4,9.3,22.6
02/27/1961,PFUN,25.8,20,17.1,10.3,18.55
02/28/1961,PFUN,0,25.4,13.5,18.6,19.45
03/01/1961,PFUN,0,26,16,11.3,21
03/02/1961,PFUN,0.1,28.8,16.3,21.8,22.55
03/03/1961,PFUN,0,29.8,17.5,21.8,23.65
03/04/1961,PFUN,0,29,19.6,11.8,24.3
03/05/1961,PFUN,36.2,22.2,15.4,8.1,18.8
