date,treatment,rain,tmax,tmin,srad,tmean
04/10/1961,PGRO,0,25.6,17.1,11.00827765,21.35
04/11/1961,PGRO,0,28.2,18,11.96715484,23.1
04/12/1961,PGRO,0,28.9,14.8,10.67554461,21.85
04/13/1961,PGRO,1.6,28,14.3,9.80102419,21.15
04/14/1961,PGRO,27.8,26.6,16,11.4567636,21.3
04/15/1961,PGRO,13,27.4,17,10.384978,22.2
04/16/1961,PGRO,0,27.2,17.7,12.12115165,22.45
04/17/1961,PGRO,0,27.8,17.4,6.082859183,22.6
04/18/1961,PGRO,3.2,25.3,17,7.327454737,21.15
04/19/1961,PGRO,0,19.4,14.5,14.17352837,16.95
04/20/1961,PGRO,0,21.6,13.1,14.28802031,17.35
04/21/1961,PGRO,0,22,13.3,7.866705807,17.65
04/22/1961,PGRO,17.8,23.1,15.6,8.78654582,19.35
04/23/1961,PGRO,0,24.4,12.9,5.834422265,18.65
04/24/1961,PGRO,0,25.9,11.4,8.868919584,18.65
04/25/1961,PGRO,28.6,19.1,15.1,5.753878395,17.1
04/26/1961,PGRO,0,21.6,13.8,8.758748467,17.7
04/27/1961,PGRO,0,22.5,11,13.7220903,16.75
04/28/1961,PGRO,0,23.2,1.3,14.58544124,12.25
04/29/1961,PGRO,0,23.8,5.7,10.47172426,14.75
04/30/1961,PGRO,0,23,6.4,13.95429954,14.7
05/01/1961,PGRO,0,23.59342,8.28046,12.77923316,15.93694
05/02/1961,PGRO,0,21.00738,13.15906,8.760542734,17.08322
05/03/1961,PGRO,28.4,20.3989,12.18334,8.929098822,16.29112
05/04/1961,PGRO,27.3,23.59342,12.34596,10.57013543,17.96969
05/05/1961,PGRO,0,24.2019,12.99644,10.47802449,18.59917
05/06/1961,PGRO,28.4,24.9625,11.8581,11.34717134,18.4103
05/07/1961,PGRO,4.6,22.98494,14.78526,8.685205279,18.8851
05/08/1961,PGRO,0,19.48618,13.15906,7.445781562,16.32262
05/09/1961,PGRO,0,22.37646,8.44308,11.508071,15.40977
05/10/1961,PGRO,0,23.89766,10.88238,11.01516262,17.39002
05/11/1961,PGRO,0,21.1595,12.99644,8.443749964,17.07797
05/12/1961,PGRO,0,22.07222,12.99644,8.906339027,17.53433
05/13/1961,PGRO,0,22.22434,14.62264,8.010489972,18.42349
05/14/1961,PGRO,0,25.11462,12.83382,10.40728296,18.97422
05/15/1961,PGRO,0,23.4413,15.59836,8.055614345,19.51983
05/16/1961,PGRO,0,22.37646,13.32168,8.682735469,17.84907
05/17/1961,PGRO,0,22.83282,15.76098,7.507913304,19.2969
05/18/1961,PGRO,7.8,21.9201,14.78526,7.503030792,18.35268
05/19/1961,PGRO,0,19.6383,10.55714,8.549459202,15.09772
05/20/1961,PGRO,0,19.6383,4.70282,11.19323616,12.17056
05/21/1961,PGRO,0,20.3989,6.65426,10.63874086,13.52658
05/22/1961,PGRO,0,22.07222,9.09356,10.255212,15.58289
05/23/1961,PGRO,0,23.13706,12.99644,8.901567289,18.06675
05/24/1961,PGRO,0,23.74554,6.9795,11.67498867,15.36252
05/25/1961,PGRO,0,22.98494,10.06928,10.07525144,16.52711
05/26/1961,PGRO,0,22.22434,9.58142,9.910555707,15.90288
05/27/1961,PGRO,0,22.22434,7.7926,10.60729392,15.00847
05/28/1961,PGRO,0,23.13706,7.14212,11.16903858,15.13959
